date,poll_percent,candidate
7/1/16,41.9,Trump
7/5/16,41.1,Trump
7/10/16,40.7,Trump
7/15/16,40.3,Trump
7/20/16,41.1,Trump
7/25/16,40.4,Trump
7/30/16,38.8,Trump
8/1/16,41.4,Trump
8/5/16,43,Trump
8/10/16,43.9,Trump
8/15/16,43.8,Trump
8/20/16,42.6,Trump
8/25/16,43.3,Trump
8/30/16,42.2,Trump
9/1/16,42,Trump
9/5/16,41.3,Trump
9/10/16,41.2,Trump
9/15/16,41.9,Trump
9/20/16,41.4,Trump
9/30/16,43.8,Trump
10/1/16,43.7,Trump
10/5/16,43.9,Trump
10/10/16,44.7,Trump
10/18/16,46.2,Trump
10/15/16,44.4,Trump
10/20/16,45.2,Trump
10/25/16,45.3,Trump
10/30/16,45.3,Trump
11/1/16,45.3,Trump
11/2/16,45.3,Trump
11/3/16,45,Trump
11/4/16,45,Trump
11/5/16,44.9,Trump
11/6/16,44.9,Trump
11/7/16,45.3,Trump
7/1/16,36.9,Clinton
7/5/16,36.4,Clinton
7/10/16,36.5,Clinton
7/15/16,36.3,Clinton
7/20/16,37.6,Clinton
7/25/16,40,Clinton
7/30/16,40,Clinton
8/1/16,38.8,Clinton
8/5/16,36.7,Clinton
8/10/16,36.6,Clinton
8/15/16,37.5,Clinton
8/20/16,37.1,Clinton
8/25/16,37.8,Clinton
8/30/16,37.9,Clinton
9/1/16,38.1,Clinton
9/5/16,38.3,Clinton
9/10/16,39.1,Clinton
9/15/16,40.8,Clinton
9/20/16,40.3,Clinton
9/30/16,40.9,Clinton
10/1/16,41.4,Clinton
10/5/16,40.7,Clinton
10/10/16,39.6,Clinton
10/18/16,39.1,Clinton
10/15/16,39.1,Clinton
10/20/16,39.2,Clinton
10/25/16,39.9,Clinton
10/30/16,42.7,Clinton
11/1/16,43.1,Clinton
11/2/16,43.4,Clinton
11/3/16,43,Clinton
11/4/16,42.7,Clinton
11/5/16,42.9,Clinton
11/6/16,42.7,Clinton
11/7/16,42,Clinton
